cohort,block_id,anchor_count,first_anchor_index,last_anchor_index,first_target_timestamp,last_target_timestamp,duration_minutes,duration_hours
primary_native_outage_aware,1,1432,27416,28847,2012-06-04 04:45:00,2012-06-09 04:55:00,7210,120.167
primary_native_outage_aware,2,293,28955,29247,2012-06-09 13:00:00,2012-06-10 14:15:00,1515,25.25
primary_native_outage_aware,3,426,29264,29689,2012-06-10 14:45:00,2012-06-12 03:05:00,2180,36.333
primary_native_outage_aware,4,1146,29695,30840,2012-06-12 02:40:00,2012-06-16 03:00:00,5780,96.333
primary_native_outage_aware,5,172,30901,31072,2012-06-16 07:10:00,2012-06-16 22:20:00,910,15.167
primary_native_outage_aware,6,66,31228,31293,2012-06-17 10:25:00,2012-06-17 16:45:00,380,6.333
primary_native_outage_aware,7,31,31327,31357,2012-06-17 18:40:00,2012-06-17 22:05:00,205,3.417
primary_native_outage_aware,8,2747,31513,34259,2012-06-18 10:10:00,2012-06-27 23:55:00,13785,229.75
secondary_high_availability_95pct,1,85,27416,27500,2012-06-04 04:45:00,2012-06-04 12:40:00,475,7.917
secondary_high_availability_95pct,2,201,27533,27733,2012-06-04 14:30:00,2012-06-05 08:05:00,1055,17.583
secondary_high_availability_95pct,3,19,27786,27804,2012-06-05 11:35:00,2012-06-05 14:00:00,145,2.417
secondary_high_availability_95pct,4,478,27837,28314,2012-06-05 15:50:00,2012-06-07 08:30:00,2440,40.667
secondary_high_availability_95pct,5,18,28344,28361,2012-06-07 10:05:00,2012-06-07 12:25:00,140,2.333
secondary_high_availability_95pct,6,18,28391,28408,2012-06-07 14:00:00,2012-06-07 16:20:00,140,2.333
secondary_high_availability_95pct,7,70,28435,28504,2012-06-07 17:40:00,2012-06-08 00:20:00,400,6.667
secondary_high_availability_95pct,8,262,28529,28790,2012-06-08 01:30:00,2012-06-09 00:10:00,1360,22.667
secondary_high_availability_95pct,9,22,28815,28836,2012-06-09 01:20:00,2012-06-09 04:00:00,160,2.667
secondary_high_availability_95pct,10,259,28978,29236,2012-06-09 14:55:00,2012-06-10 13:20:00,1345,22.417
secondary_high_availability_95pct,11,392,29287,29678,2012-06-10 16:40:00,2012-06-12 02:10:00,2010,33.5
secondary_high_availability_95pct,12,124,29718,29841,2012-06-12 04:35:00,2012-06-12 15:45:00,670,11.167
secondary_high_availability_95pct,13,508,29880,30387,2012-06-12 18:05:00,2012-06-14 13:15:00,2590,43.167
secondary_high_availability_95pct,14,88,30637,30724,2012-06-15 09:10:00,2012-06-15 17:20:00,490,8.167
secondary_high_availability_95pct,15,1,30736,30736,2012-06-15 17:25:00,2012-06-15 18:20:00,55,0.917
secondary_high_availability_95pct,16,82,30748,30829,2012-06-15 18:25:00,2012-06-16 02:05:00,460,7.667
secondary_high_availability_95pct,17,49,30924,30972,2012-06-16 09:05:00,2012-06-16 14:00:00,295,4.917
secondary_high_availability_95pct,18,64,30998,31061,2012-06-16 15:15:00,2012-06-16 21:25:00,370,6.167
secondary_high_availability_95pct,19,28,31251,31278,2012-06-17 12:20:00,2012-06-17 15:30:00,190,3.167
secondary_high_availability_95pct,20,36,31536,31571,2012-06-18 12:05:00,2012-06-18 15:55:00,230,3.833
secondary_high_availability_95pct,21,359,31600,31958,2012-06-18 17:25:00,2012-06-20 00:10:00,1845,30.75
secondary_high_availability_95pct,22,264,31983,32246,2012-06-20 01:20:00,2012-06-21 00:10:00,1370,22.833
secondary_high_availability_95pct,23,552,32271,32822,2012-06-21 01:20:00,2012-06-23 00:10:00,2810,46.833
secondary_high_availability_95pct,24,89,32847,32935,2012-06-23 01:20:00,2012-06-23 09:35:00,495,8.25
secondary_high_availability_95pct,25,37,33074,33110,2012-06-23 20:15:00,2012-06-24 00:10:00,235,3.917
secondary_high_availability_95pct,26,193,33155,33347,2012-06-24 03:00:00,2012-06-24 19:55:00,1015,16.917
secondary_high_availability_95pct,27,6,33354,33359,2012-06-24 19:35:00,2012-06-24 20:55:00,80,1.333
secondary_high_availability_95pct,28,33,33366,33398,2012-06-24 20:35:00,2012-06-25 00:10:00,215,3.583
secondary_high_availability_95pct,29,135,33431,33565,2012-06-25 02:00:00,2012-06-25 14:05:00,725,12.083
secondary_high_availability_95pct,30,55,33804,33858,2012-06-26 09:05:00,2012-06-26 14:30:00,325,5.417
secondary_high_availability_95pct,31,11,33860,33870,2012-06-26 13:45:00,2012-06-26 15:30:00,105,1.75
secondary_high_availability_95pct,32,146,33938,34083,2012-06-26 20:15:00,2012-06-27 09:15:00,780,13.0
secondary_high_availability_95pct,33,9,34087,34095,2012-06-27 08:40:00,2012-06-27 10:15:00,95,1.583
secondary_high_availability_95pct,34,40,34099,34138,2012-06-27 09:40:00,2012-06-27 13:50:00,250,4.167
secondary_high_availability_95pct,35,38,34222,34259,2012-06-27 19:55:00,2012-06-27 23:55:00,240,4.0
supplementary_near_complete_99pct,1,20,27421,27440,2012-06-04 05:10:00,2012-06-04 07:40:00,150,2.5
supplementary_near_complete_99pct,2,6,27478,27483,2012-06-04 09:55:00,2012-06-04 11:15:00,80,1.333
supplementary_near_complete_99pct,3,42,27604,27645,2012-06-04 20:25:00,2012-06-05 00:45:00,260,4.333
supplementary_near_complete_99pct,4,22,28815,28836,2012-06-09 01:20:00,2012-06-09 04:00:00,160,2.667
supplementary_near_complete_99pct,5,18,29156,29173,2012-06-10 05:45:00,2012-06-10 08:05:00,140,2.333
supplementary_near_complete_99pct,6,102,29449,29550,2012-06-11 06:10:00,2012-06-11 15:30:00,560,9.333
supplementary_near_complete_99pct,7,62,29617,29678,2012-06-11 20:10:00,2012-06-12 02:10:00,360,6.0
supplementary_near_complete_99pct,8,29,29720,29748,2012-06-12 04:45:00,2012-06-12 08:00:00,195,3.25
supplementary_near_complete_99pct,9,2,29932,29933,2012-06-12 22:25:00,2012-06-12 23:25:00,60,1.0
supplementary_near_complete_99pct,10,9,30022,30030,2012-06-13 05:55:00,2012-06-13 07:30:00,95,1.583
supplementary_near_complete_99pct,11,44,30065,30108,2012-06-13 09:30:00,2012-06-13 14:00:00,270,4.5
supplementary_near_complete_99pct,12,141,30193,30333,2012-06-13 20:10:00,2012-06-14 08:45:00,755,12.583
supplementary_near_complete_99pct,13,2,30342,30343,2012-06-14 08:35:00,2012-06-14 09:35:00,60,1.0
supplementary_near_complete_99pct,14,1,30345,30345,2012-06-14 08:50:00,2012-06-14 09:45:00,55,0.917
supplementary_near_complete_99pct,15,2,30354,30355,2012-06-14 09:35:00,2012-06-14 10:35:00,60,1.0
supplementary_near_complete_99pct,16,18,30357,30374,2012-06-14 09:50:00,2012-06-14 12:10:00,140,2.333
supplementary_near_complete_99pct,17,18,30646,30663,2012-06-15 09:55:00,2012-06-15 12:15:00,140,2.333
supplementary_near_complete_99pct,18,44,30757,30800,2012-06-15 19:10:00,2012-06-15 23:40:00,270,4.5
supplementary_near_complete_99pct,19,2,30828,30829,2012-06-16 01:05:00,2012-06-16 02:05:00,60,1.0
supplementary_near_complete_99pct,20,27,30924,30950,2012-06-16 09:05:00,2012-06-16 12:10:00,185,3.083
supplementary_near_complete_99pct,21,45,31638,31682,2012-06-18 20:35:00,2012-06-19 01:10:00,275,4.583
supplementary_near_complete_99pct,22,23,31742,31764,2012-06-19 05:15:00,2012-06-19 08:00:00,165,2.75
supplementary_near_complete_99pct,23,25,31934,31958,2012-06-19 21:15:00,2012-06-20 00:10:00,175,2.917
supplementary_near_complete_99pct,24,15,31983,31997,2012-06-20 01:20:00,2012-06-20 03:25:00,125,2.083
supplementary_near_complete_99pct,25,36,32085,32120,2012-06-20 09:50:00,2012-06-20 13:40:00,230,3.833
supplementary_near_complete_99pct,26,34,32213,32246,2012-06-20 20:30:00,2012-06-21 00:10:00,220,3.667
supplementary_near_complete_99pct,27,2,32311,32312,2012-06-21 04:40:00,2012-06-21 05:40:00,60,1.0
audit_strict_complete_100pct,1,2,29676,29677,2012-06-12 01:05:00,2012-06-12 02:05:00,60,1.0
audit_strict_complete_100pct,2,8,30090,30097,2012-06-13 11:35:00,2012-06-13 13:05:00,90,1.5
audit_strict_complete_100pct,3,15,30308,30322,2012-06-14 05:45:00,2012-06-14 07:50:00,125,2.083
audit_strict_complete_100pct,4,1,30368,30368,2012-06-14 10:45:00,2012-06-14 11:40:00,55,0.917
