model,condition,scope,metric,n,mean,sd,median,q1,q3,iqr,ci95_lo,ci95_hi
FAR-GF-RC,clean_native_history,horizon_12,mae,5,1.998703182072757,0.011633651730916572,1.9967054363150412,1.994824580178776,2.0096759841334912,0.014851403954715181,1.9842580955508369,2.013148268594677
FAR-GF-RC,clean_native_history,horizon_12,rmse,5,4.424381748166483,0.029018830199663934,4.437226029670164,4.401874364376026,4.443841205075681,0.04196684069965517,4.388350111437572,4.460413384895394
FAR-GF-RC,clean_native_history,horizon_12,mape_percent,5,4.795698445787602,0.03531040523527245,4.780953001460031,4.774556883530081,4.830835223426072,0.05627833989599118,4.751854786844978,4.839542104730226
FAR-GF-RC,clean_native_history,horizon_12,wmape_percent,5,3.199469881403558,0.018622834374639227,3.196271944141116,3.193261120616537,3.2170348455377087,0.0237737249211718,3.176346578416057,3.2225931843910587
FAR-GF-RC,clean_native_history,horizon_3,mae,5,1.3600261655109083,0.004167270110424834,1.3574238669646237,1.3568117209268782,1.3640064032958397,0.00719468236896148,1.354851816244003,1.3652005147778135
FAR-GF-RC,clean_native_history,horizon_3,rmse,5,2.8327407413072745,0.009675505577366239,2.8296548535842527,2.828863103950912,2.830885875483506,0.0020227715325940032,2.820727014367439,2.84475446824711
FAR-GF-RC,clean_native_history,horizon_3,mape_percent,5,2.9628852566729518,0.029839758108373197,2.951498013499425,2.9514211978982456,2.9566400889082,0.0052188910099544294,2.925834303314676,2.9999362100312275
FAR-GF-RC,clean_native_history,horizon_3,wmape_percent,5,2.1771897777282163,0.006671149508392653,2.173023903616934,2.172043953282408,2.1835615176535463,0.011517564371138267,2.1689064515570102,2.1854731038994224
FAR-GF-RC,clean_native_history,horizon_6,mae,5,1.686948589946534,0.0018921744876584875,1.6873782862317783,1.6868876502325805,1.6875228440000292,0.000635193767448694,1.6845991450068887,1.6892980348861792
FAR-GF-RC,clean_native_history,horizon_6,rmse,5,3.7186285714135794,0.017331996969268806,3.715521830219057,3.714550784124097,3.7297151337060894,0.015164349581992642,3.6971080547598616,3.740149088067297
FAR-GF-RC,clean_native_history,horizon_6,mape_percent,5,3.912756108646613,0.008744334259432862,3.912044093320132,3.910759305758907,3.919250886830474,0.008491581071566667,3.9018985836084155,3.9236136336848104
FAR-GF-RC,clean_native_history,horizon_6,wmape_percent,5,2.7004801607474023,0.0030290073420412033,2.7011680218359766,2.700382607988822,2.701399431013215,0.0010168230243929877,2.6967191513804947,2.70424117011431
FAR-GF-RC,clean_native_history,overall,mae,5,1.6273425445645273,0.002943736793255709,1.6279427572238343,1.6256150800237297,1.6292032545725197,0.003588174548790013,1.623687412568154,1.6309976765609007
FAR-GF-RC,clean_native_history,overall,rmse,5,3.6250539794637056,0.016017998064751446,3.624877672644746,3.614822594243991,3.640119478008574,0.025296883764582834,3.6051650079434063,3.644942950984005
FAR-GF-RC,clean_native_history,overall,mape_percent,5,3.7654836494049255,0.01602448720428706,3.7571839865454666,3.754733579773415,3.7766347971988585,0.021901217425443598,3.745586620553685,3.785380678256166
FAR-GF-RC,clean_native_history,overall,wmape_percent,5,2.6050696438630205,0.0047123694917503576,2.606030471553445,2.602304297715639,2.608048290967187,0.005743993251547952,2.5992184643188803,2.610920823407161
