baseline_model,condition_identifier,paired_mae_improvement_percent_mean,paired_mae_improvement_percent_sample_std,reference_model,scope_identifier,seed_count
MS-GRU,clean_native_history,6.22457548257188,0.6592137640622309,FAR-GF-RC,horizon_12,5
MS-GRU,clean_native_history,5.954976300501124,0.6026509872254069,FAR-GF-RC,horizon_3,5
MS-GRU,clean_native_history,4.368750070468742,0.465245168033938,FAR-GF-RC,horizon_6,5
MS-GRU,clean_native_history,6.19095059093639,0.4464623099502801,FAR-GF-RC,overall,5
MS-GRU,iid_random_10pct,6.1086867056244945,0.699596244200754,FAR-GF-RC,horizon_12,5
MS-GRU,iid_random_10pct,6.140427124772822,0.5915704369129442,FAR-GF-RC,horizon_3,5
MS-GRU,iid_random_10pct,4.452398722119417,0.4708893167898757,FAR-GF-RC,horizon_6,5
MS-GRU,iid_random_10pct,6.205843337851099,0.45870196742005825,FAR-GF-RC,overall,5
MS-GRU,iid_random_30pct,5.672818465865955,0.7702900812510555,FAR-GF-RC,horizon_12,5
MS-GRU,iid_random_30pct,6.559832154718491,0.5475010552180257,FAR-GF-RC,horizon_3,5
MS-GRU,iid_random_30pct,4.500092289487086,0.4746021799982312,FAR-GF-RC,horizon_6,5
MS-GRU,iid_random_30pct,6.134084818217099,0.4745242381482857,FAR-GF-RC,overall,5
MS-GRU,iid_random_50pct,4.736563746614253,0.9373287642543667,FAR-GF-RC,horizon_12,5
MS-GRU,iid_random_50pct,6.932062371331055,0.522131199541549,FAR-GF-RC,horizon_3,5
MS-GRU,iid_random_50pct,4.433370916380216,0.5470058475133095,FAR-GF-RC,horizon_6,5
MS-GRU,iid_random_50pct,5.81437434392117,0.5694310934292864,FAR-GF-RC,overall,5
MS-GRU,spatial_geographic_knn4_cluster_16_full_history,6.561572005188475,0.6587784385595189,FAR-GF-RC,horizon_12,5
MS-GRU,spatial_geographic_knn4_cluster_16_full_history,6.820928107884474,0.555957367779328,FAR-GF-RC,horizon_3,5
MS-GRU,spatial_geographic_knn4_cluster_16_full_history,5.011862252696249,0.4474648864955925,FAR-GF-RC,horizon_6,5
MS-GRU,spatial_geographic_knn4_cluster_16_full_history,6.750943772843586,0.42774683804916847,FAR-GF-RC,overall,5
MS-GRU,spatial_geographic_knn4_cluster_32_full_history,6.811521179783708,0.7151381134535794,FAR-GF-RC,horizon_12,5
MS-GRU,spatial_geographic_knn4_cluster_32_full_history,7.496627766883101,0.5044205062719253,FAR-GF-RC,horizon_3,5
MS-GRU,spatial_geographic_knn4_cluster_32_full_history,5.567290222911936,0.43670688588897777,FAR-GF-RC,horizon_6,5
MS-GRU,spatial_geographic_knn4_cluster_32_full_history,7.18484825257463,0.4257611599816711,FAR-GF-RC,overall,5
MS-GRU,spatial_geographic_knn4_cluster_8_full_history,6.412612873078873,0.6665693284643286,FAR-GF-RC,horizon_12,5
MS-GRU,spatial_geographic_knn4_cluster_8_full_history,6.466157924264863,0.5853537676511366,FAR-GF-RC,horizon_3,5
MS-GRU,spatial_geographic_knn4_cluster_8_full_history,4.748192282690467,0.4525072189856652,FAR-GF-RC,horizon_6,5
MS-GRU,spatial_geographic_knn4_cluster_8_full_history,6.5209345960586,0.4385044155456039,FAR-GF-RC,overall,5
MS-GRU,temporal_tail_25pct_sensors_3steps,6.070712293697085,0.7356002508710122,FAR-GF-RC,horizon_12,5
MS-GRU,temporal_tail_25pct_sensors_3steps,7.426780622647518,0.4935328262217724,FAR-GF-RC,horizon_3,5
MS-GRU,temporal_tail_25pct_sensors_3steps,5.176882341303212,0.4321538792908808,FAR-GF-RC,horizon_6,5
MS-GRU,temporal_tail_25pct_sensors_3steps,6.727682934949774,0.4335217188271215,FAR-GF-RC,overall,5
MS-GRU,temporal_tail_50pct_sensors_6steps,6.163209455949915,0.829727887257858,FAR-GF-RC,horizon_12,5
MS-GRU,temporal_tail_50pct_sensors_6steps,9.722054231731638,0.46733383625935787,FAR-GF-RC,horizon_3,5
MS-GRU,temporal_tail_50pct_sensors_6steps,6.587658589050474,0.44619102012429485,FAR-GF-RC,horizon_6,5
MS-GRU,temporal_tail_50pct_sensors_6steps,7.826910516636493,0.4901312496515911,FAR-GF-RC,overall,5
MS-GRU,temporal_tail_75pct_sensors_12steps,7.760361235215666,1.1385161778254074,FAR-GF-RC,horizon_12,5
MS-GRU,temporal_tail_75pct_sensors_12steps,12.70798789084696,0.686951345906868,FAR-GF-RC,horizon_3,5
MS-GRU,temporal_tail_75pct_sensors_12steps,9.543146486269952,0.6621479410715344,FAR-GF-RC,horizon_6,5
MS-GRU,temporal_tail_75pct_sensors_12steps,10.331333546115342,0.6188149950052847,FAR-GF-RC,overall,5
MS-TCN-v2,clean_native_history,7.6906552682284595,1.0667769740574753,FAR-GF-RC,horizon_12,5
MS-TCN-v2,clean_native_history,6.752310036989338,1.1711915517984615,FAR-GF-RC,horizon_3,5
MS-TCN-v2,clean_native_history,2.8555885247774517,0.43415037970013853,FAR-GF-RC,horizon_6,5
MS-TCN-v2,clean_native_history,6.64413588845274,0.5159868819848226,FAR-GF-RC,overall,5
MS-TCN-v2,iid_random_10pct,7.557022809845689,1.0572236562286113,FAR-GF-RC,horizon_12,5
MS-TCN-v2,iid_random_10pct,7.179686628587234,1.1695973313286097,FAR-GF-RC,horizon_3,5
MS-TCN-v2,iid_random_10pct,3.130370964842516,0.5072428235490701,FAR-GF-RC,horizon_6,5
MS-TCN-v2,iid_random_10pct,6.774760395380374,0.559887438738166,FAR-GF-RC,overall,5
MS-TCN-v2,iid_random_30pct,7.144921598109744,1.0355302548257332,FAR-GF-RC,horizon_12,5
MS-TCN-v2,iid_random_30pct,7.964022274104212,1.0615391195094983,FAR-GF-RC,horizon_3,5
MS-TCN-v2,iid_random_30pct,3.5789249092660116,0.5771489687052775,FAR-GF-RC,horizon_6,5
MS-TCN-v2,iid_random_30pct,6.910306957395514,0.5981606895537919,FAR-GF-RC,overall,5
MS-TCN-v2,iid_random_50pct,6.181751856745786,1.0516361426834702,FAR-GF-RC,horizon_12,5
MS-TCN-v2,iid_random_50pct,8.576014633562838,0.8358215742761099,FAR-GF-RC,horizon_3,5
MS-TCN-v2,iid_random_50pct,3.840150683301759,0.5527844068679407,FAR-GF-RC,horizon_6,5
MS-TCN-v2,iid_random_50pct,6.72225213437559,0.5803745734511033,FAR-GF-RC,overall,5
MS-TCN-v2,spatial_geographic_knn4_cluster_16_full_history,7.965538240498757,1.0558801517068264,FAR-GF-RC,horizon_12,5
MS-TCN-v2,spatial_geographic_knn4_cluster_16_full_history,7.516939378492791,1.027041213634494,FAR-GF-RC,horizon_3,5
MS-TCN-v2,spatial_geographic_knn4_cluster_16_full_history,3.5718944047946812,0.38964264561651074,FAR-GF-RC,horizon_6,5
MS-TCN-v2,spatial_geographic_knn4_cluster_16_full_history,7.148254927026824,0.4938911603355079,FAR-GF-RC,overall,5
MS-TCN-v2,spatial_geographic_knn4_cluster_32_full_history,8.115163865354642,1.0604768411251677,FAR-GF-RC,horizon_12,5
MS-TCN-v2,spatial_geographic_knn4_cluster_32_full_history,8.072467739829483,0.928387047751931,FAR-GF-RC,horizon_3,5
MS-TCN-v2,spatial_geographic_knn4_cluster_32_full_history,4.154908931084536,0.3630018109298662,FAR-GF-RC,horizon_6,5
MS-TCN-v2,spatial_geographic_knn4_cluster_32_full_history,7.49808225496601,0.49792548337571874,FAR-GF-RC,overall,5
