condition_identifier,mae,mape_percent,model_identifier,model_seed,rmse,scope_identifier,scored_cells,wmape_percent
clean_native_history,1.630689757753806,3.7766347971988585,FAR-GF-RC,17,3.6412152883953155,overall,40608096,2.6104279032534934
clean_native_history,1.356771213167144,2.9514211978982456,FAR-GF-RC,17,2.8296548535842527,horizon_3,3384008,2.17197910667677
clean_native_history,1.6890615132347708,3.922088333534333,FAR-GF-RC,17,3.7297151337060894,horizon_6,3384008,2.7038625444519617
clean_native_history,2.010100268790571,4.835367519872151,FAR-GF-RC,17,4.453174499805406,horizon_12,3384008,3.217714028917034
iid_random_10pct,1.6423000877989566,3.8110334692889043,FAR-GF-RC,17,3.66480125620772,overall,40608096,2.6290138601295525
iid_random_10pct,1.3714694862098267,2.9930420175450667,FAR-GF-RC,17,2.8686748522296646,horizon_3,3384008,2.195508749436816
iid_random_10pct,1.6982343541224407,3.9507221081079678,FAR-GF-RC,17,3.7499367675093853,horizon_6,3384008,2.718546498060548
iid_random_10pct,2.017913972654299,4.8622882525065565,FAR-GF-RC,17,4.468962765374753,horizon_12,3384008,3.230221994280995
iid_random_30pct,1.6756083054222717,3.8996618315548908,FAR-GF-RC,17,3.7334903411763856,overall,40608096,2.682334058087568
iid_random_30pct,1.411550416056044,3.10039820130796,FAR-GF-RC,17,2.9778383691270784,horizon_3,3384008,2.2596720669934633
iid_random_30pct,1.72584856139189,4.024799604963605,FAR-GF-RC,17,3.8115362415952054,horizon_6,3384008,2.7627515315336058
iid_random_30pct,2.043036341623916,4.933951560897253,FAR-GF-RC,17,4.516386334152179,horizon_12,3384008,3.2704372016158034
iid_random_50pct,1.7379562669860547,4.067498669204795,FAR-GF-RC,17,3.8578601209767696,overall,40608096,2.7821414296634233
iid_random_50pct,1.48179174585902,3.2951360761820725,FAR-GF-RC,17,3.1545147393770296,horizon_3,3384008,2.3721174809856467
iid_random_50pct,1.7797231524515167,4.17148560349459,FAR-GF-RC,17,3.9247417719037063,horizon_6,3384008,2.84899438753523
